
================================================================
======== FXServer starting - 2020/7/8 下午10:22:04
Found new resource esx_drugs in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/esx_drugs
Found new resource esx_GoldCurrency in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/esx_GoldCurrency
Found new resource esx_knatusblowtorch in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/esx_knatusblowtorch
Found new resource esx_knatusrobberybank in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/esx_knatusrobberybank
Found new resource esx_lootDeadbody in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/esx_lootDeadbody
Found new resource esx_merryweather in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/esx_merryweather
Found new resource esx_outlawalert in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/esx_outlawalert
Found new resource esx_planting in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/esx_planting
Found new resource esx_thief in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/esx_thief
Found new resource esx_vangelico_robbery in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/esx_vangelico_robbery
Found new resource KBurglary in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/KBurglary
Found new resource mhacking in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/mhacking
Found new resource stasiek_selldrugs in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/stasiek_selldrugs
Found new resource t1ger_drugs in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/t1ger_drugs
Found new resource TakeHostage in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/TakeHostage
Found new resource x-hotwire in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/x-hotwire
Found new resource instance in C:/GTA_RP_Server_1\server-data/resources//[esx]/[instance]/instance
Found new resource CARP-status in C:/GTA_RP_Server_1\server-data/resources//[esx]/[inventory]/CARP-status
Found new resource esx_inventoryhud in C:/GTA_RP_Server_1\server-data/resources//[esx]/[inventory]/esx_inventoryhud
Found new resource prison_status_panel in C:/GTA_RP_Server_1\server-data/resources//[esx]/[inventory]/prison_status_panel
Found new resource skeletalsystem in C:/GTA_RP_Server_1\server-data/resources//[esx]/[inventory]/skeletalsystem
Found new resource esx_ambulancejob in C:/GTA_RP_Server_1\server-data/resources//[esx]/[jobs]/esx_ambulancejob
Found new resource esx_duty in C:/GTA_RP_Server_1\server-data/resources//[esx]/[jobs]/esx_duty
Found new resource esx_gym in C:/GTA_RP_Server_1\server-data/resources//[esx]/[jobs]/esx_gym
Found new resource esx_joblisting in C:/GTA_RP_Server_1\server-data/resources//[esx]/[jobs]/esx_joblisting
Found new resource esx_jobs in C:/GTA_RP_Server_1\server-data/resources//[esx]/[jobs]/esx_jobs
Found new resource esx_mechanicjob in C:/GTA_RP_Server_1\server-data/resources//[esx]/[jobs]/esx_mechanicjob
Found new resource esx_mushroom in C:/GTA_RP_Server_1\server-data/resources//[esx]/[jobs]/esx_mushroom
Found new resource esx_policejob in C:/GTA_RP_Server_1\server-data/resources//[esx]/[jobs]/esx_policejob
Found new resource esx_trash in C:/GTA_RP_Server_1\server-data/resources//[esx]/[jobs]/esx_trash
Found new resource Hunter in C:/GTA_RP_Server_1\server-data/resources//[esx]/[jobs]/Hunter
Found new resource esx-wanted in C:/GTA_RP_Server_1\server-data/resources//[esx]/[police]/esx-wanted
Found new resource rad_gsr in C:/GTA_RP_Server_1\server-data/resources//[esx]/[police]/rad_gsr
Found new resource Tackle in C:/GTA_RP_Server_1\server-data/resources//[esx]/[police]/Tackle
Found new resource esx_accessories in C:/GTA_RP_Server_1\server-data/resources//[esx]/[shop]/esx_accessories
Found new resource esx_barbershop in C:/GTA_RP_Server_1\server-data/resources//[esx]/[shop]/esx_barbershop
Found new resource esx_clotheshop in C:/GTA_RP_Server_1\server-data/resources//[esx]/[shop]/esx_clotheshop
Found new resource esx_foodtruck in C:/GTA_RP_Server_1\server-data/resources//[esx]/[shop]/esx_foodtruck
Found new resource esx_jimmybm in C:/GTA_RP_Server_1\server-data/resources//[esx]/[shop]/esx_jimmybm
Found new resource esx_newaccessories in C:/GTA_RP_Server_1\server-data/resources//[esx]/[shop]/esx_newaccessories
Found new resource esx_np_skinshop in C:/GTA_RP_Server_1\server-data/resources//[esx]/[shop]/esx_np_skinshop
Found new resource esx_np_skinshop_v2 in C:/GTA_RP_Server_1\server-data/resources//[esx]/[shop]/esx_np_skinshop_v2
Found new resource esx_shops in C:/GTA_RP_Server_1\server-data/resources//[esx]/[shop]/esx_shops
Found new resource esx_tattooshop in C:/GTA_RP_Server_1\server-data/resources//[esx]/[shop]/esx_tattooshop
Found new resource esx_vehicleshop in C:/GTA_RP_Server_1\server-data/resources//[esx]/[shop]/esx_vehicleshop
Found new resource esx_weaponshop in C:/GTA_RP_Server_1\server-data/resources//[esx]/[shop]/esx_weaponshop
Found new resource LegacyFuel in C:/GTA_RP_Server_1\server-data/resources//[esx]/[shop]/LegacyFuel
Found new resource esx_skin in C:/GTA_RP_Server_1\server-data/resources//[esx]/[skin]/esx_skin
Found new resource skinchanger in C:/GTA_RP_Server_1\server-data/resources//[esx]/[skin]/skinchanger
Found new resource esx_basicneeds in C:/GTA_RP_Server_1\server-data/resources//[esx]/[status]/esx_basicneeds
Found new resource esx_gift_tree in C:/GTA_RP_Server_1\server-data/resources//[esx]/[status]/esx_gift_tree
Found new resource esx_optionalneeds in C:/GTA_RP_Server_1\server-data/resources//[esx]/[status]/esx_optionalneeds
Found new resource esx_status in C:/GTA_RP_Server_1\server-data/resources//[esx]/[status]/esx_status
Found new resource esx_addonaccount in C:/GTA_RP_Server_1\server-data/resources//[esx]/[storage]/esx_addonaccount
Found new resource esx_addoninventory in C:/GTA_RP_Server_1\server-data/resources//[esx]/[storage]/esx_addoninventory
Found new resource esx_datastore in C:/GTA_RP_Server_1\server-data/resources//[esx]/[storage]/esx_datastore
Found new resource esx_kingofthehill in C:/GTA_RP_Server_1\server-data/resources//[esx]/[stronghold]/esx_kingofthehill
Found new resource carcontrol in C:/GTA_RP_Server_1\server-data/resources//[esx]/[ui]/carcontrol
Found new resource esx_menu_default in C:/GTA_RP_Server_1\server-data/resources//[esx]/[ui]/esx_menu_default
Found new resource esx_menu_dialog in C:/GTA_RP_Server_1\server-data/resources//[esx]/[ui]/esx_menu_dialog
Found new resource esx_menu_list in C:/GTA_RP_Server_1\server-data/resources//[esx]/[ui]/esx_menu_list
Found new resource esx_scoreboard2 in C:/GTA_RP_Server_1\server-data/resources//[esx]/[ui]/esx_scoreboard2
Found new resource esx_watch in C:/GTA_RP_Server_1\server-data/resources//[esx]/[ui]/esx_watch
Found new resource mythic_notify in C:/GTA_RP_Server_1\server-data/resources//[esx]/[ui]/mythic_notify
Found new resource mythic_progbar in C:/GTA_RP_Server_1\server-data/resources//[esx]/[ui]/mythic_progbar
Found new resource mythic_progressbar in C:/GTA_RP_Server_1\server-data/resources//[esx]/[ui]/mythic_progressbar
Found new resource NoReticle in C:/GTA_RP_Server_1\server-data/resources//[esx]/[ui]/NoReticle
Found new resource pNotify in C:/GTA_RP_Server_1\server-data/resources//[esx]/[ui]/pNotify
Found new resource progressBars in C:/GTA_RP_Server_1\server-data/resources//[esx]/[ui]/progressBars
Found new resource showcoords in C:/GTA_RP_Server_1\server-data/resources//[esx]/[ui]/showcoords
Found new resource SimpleCarHUD in C:/GTA_RP_Server_1\server-data/resources//[esx]/[ui]/SimpleCarHUD
Found new resource st-hud in C:/GTA_RP_Server_1\server-data/resources//[esx]/[ui]/st-hud
Found new resource st-hudv2 in C:/GTA_RP_Server_1\server-data/resources//[esx]/[ui]/st-hudv2
Found new resource st-menu in C:/GTA_RP_Server_1\server-data/resources//[esx]/[ui]/st-menu
Found new resource carremote in C:/GTA_RP_Server_1\server-data/resources//[esx]/[vehicle]/carremote
Found new resource garageshitz in C:/GTA_RP_Server_1\server-data/resources//[esx]/[vehicle]/garageshitz
Found new resource RealisticVehicleFailure in C:/GTA_RP_Server_1\server-data/resources//[esx]/[vehicle]/RealisticVehicleFailure
Found new resource whiteplate in C:/GTA_RP_Server_1\server-data/resources//[esx]/[vehicle]/whiteplate
Found new resource ls-radio in C:/GTA_RP_Server_1\server-data/resources//[esx]/[voice]/ls-radio
Found new resource tokovoip_script in C:/GTA_RP_Server_1\server-data/resources//[esx]/[voice]/tokovoip_script
Found new resource CLEAR_NPC in C:/GTA_RP_Server_1\server-data/resources//[esx]/[weapon]/CLEAR_NPC
Found new resource esx_guy293_holsterweapon in C:/GTA_RP_Server_1\server-data/resources//[esx]/[weapon]/esx_guy293_holsterweapon
Found new resource SB-NoHead in C:/GTA_RP_Server_1\server-data/resources//[esx]/[weapon]/SB-NoHead
Found new resource weaponchange in C:/GTA_RP_Server_1\server-data/resources//[esx]/[weapon]/weaponchange
Found new resource weaponsfx in C:/GTA_RP_Server_1\server-data/resources//[esx]/[weapon]/weaponsfx
Found new resource fivem-map-hipster in C:/GTA_RP_Server_1\server-data/resources//[gamemodes]/[maps]/fivem-map-hipster
Found new resource fivem-map-skater in C:/GTA_RP_Server_1\server-data/resources//[gamemodes]/[maps]/fivem-map-skater
Found new resource redm-map-one in C:/GTA_RP_Server_1\server-data/resources//[gamemodes]/[maps]/redm-map-one
Found new resource dons_bm_middoc in C:/GTA_RP_Server_1\server-data/resources//[map]/[health]/dons_bm_middoc
Found new resource hospitalsandy in C:/GTA_RP_Server_1\server-data/resources//[map]/[health]/hospitalsandy
Found new resource PetClinic in C:/GTA_RP_Server_1\server-data/resources//[map]/[health]/PetClinic
Found new resource smokey_hory in C:/GTA_RP_Server_1\server-data/resources//[map]/[health]/smokey_hory
Found new resource paletopd in C:/GTA_RP_Server_1\server-data/resources//[map]/[police]/paletopd
Found new resource phxlspd in C:/GTA_RP_Server_1\server-data/resources//[map]/[police]/phxlspd
Found new resource policevw in C:/GTA_RP_Server_1\server-data/resources//[map]/[police]/policevw
Found new resource police_garage in C:/GTA_RP_Server_1\server-data/resources//[map]/[police]/police_garage
Found new resource sandysheriff in C:/GTA_RP_Server_1\server-data/resources//[map]/[police]/sandysheriff
Found new resource sandysheriffsmall in C:/GTA_RP_Server_1\server-data/resources//[map]/[police]/sandysheriffsmall
Found new resource int_prisonfull in C:/GTA_RP_Server_1\server-data/resources//[map]/[prison]/int_prisonfull
Found new resource prisonprops in C:/GTA_RP_Server_1\server-data/resources//[map]/[prison]/prisonprops
Found new resource biker in C:/GTA_RP_Server_1\server-data/resources//[map]/[stronghold]/biker
Found new resource bikerbarsandy in C:/GTA_RP_Server_1\server-data/resources//[map]/[stronghold]/bikerbarsandy
Found new resource buldingbeach in C:/GTA_RP_Server_1\server-data/resources//[map]/[stronghold]/buldingbeach
Found new resource grandehouse in C:/GTA_RP_Server_1\server-data/resources//[map]/[stronghold]/grandehouse
Found new resource petitmaison in C:/GTA_RP_Server_1\server-data/resources//[map]/[stronghold]/petitmaison
Found new resource vagos in C:/GTA_RP_Server_1\server-data/resources//[map]/[stronghold]/vagos
Found new resource webpack in C:/GTA_RP_Server_1\server-data/resources//[system]/[builders]/webpack
Found new resource utk_ornateheist in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/[UTK]/utk_ornateheist
Found new resource utk_ornateprops in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/[UTK]/utk_ornateprops
Found new resource utk_powerplant in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/[UTK]/utk_powerplant
Found new resource character in C:/GTA_RP_Server_1\server-data/resources//[esx]/[skin]/[eup]/character
Found new resource fashionA in C:/GTA_RP_Server_1\server-data/resources//[esx]/[skin]/[eup]/fashionA
Found new resource NativeUI in C:/GTA_RP_Server_1\server-data/resources//[esx]/[skin]/[eup]/NativeUI
Found new resource UniformsB in C:/GTA_RP_Server_1\server-data/resources//[esx]/[skin]/[eup]/UniformsB
Found new resource ddg151 in C:/GTA_RP_Server_1\server-data/resources//[esx]/[vehicle]/[mods]/ddg151
Found new resource HMS in C:/GTA_RP_Server_1\server-data/resources//[esx]/[vehicle]/[mods]/HMS
Found new resource maserati in C:/GTA_RP_Server_1\server-data/resources//[esx]/[vehicle]/[mods]/maserati
Found new resource oceanjet in C:/GTA_RP_Server_1\server-data/resources//[esx]/[vehicle]/[mods]/oceanjet
Found new resource tpplage in C:/GTA_RP_Server_1\server-data/resources//[map]/[stronghold]/[TeleportScriptbeach]/tpplage
Creating script environments for sessionmanager
Started resource sessionmanager
Creating script environments for webadmin
Instantiated instance of script FxWebAdmin.BaseServer.
Instantiated instance of script FxWebAdmin.HttpServer+HttpServerScript.
Started resource webadmin
Creating script environments for monitor
[txAdminClientLUA] Version 2.4.2 starting...
[txAdminClientJS] Logger started
Started resource monitor
Creating script environments for chat
Started resource chat
Stopping resource webadmin
Creating script environments for mysql-async
Started resource mysql-async
Creating script environments for async
Started resource async
Creating script environments for es_extended
Started resource es_extended
Creating script environments for esx_identity
Started resource esx_identity
Creating script environments for esx_charselect
Started resource esx_charselect
Creating script environments for ooc
Started resource ooc
Creating script environments for ls-radio
Started resource ls-radio
Started resource esx_menu_default
Started resource esx_menu_list
Started resource esx_menu_dialog
Started resource NativeUI
Started resource mythic_notify
Started resource mythic_progressbar
Started resource progressBars
Started resource mythic_progbar
Started resource showcoords
Started resource pNotify
Creating script environments for esx_watch
Started resource esx_watch
Creating script environments for InteractSound
Started resource InteractSound
Creating script environments for InteractSoundS
Started resource InteractSoundS
Creating script environments for carcontrol
Instantiated instance of script server.server.
Started resource carcontrol
Creating script environments for esx_scoreboard2
Started resource esx_scoreboard2
Creating script environments for esx_status
Started resource esx_status
Creating script environments for skeletalsystem
Started resource skeletalsystem
Creating script environments for esx_gift_tree
Started resource esx_gift_tree
Started resource prison_status_panel
Creating script environments for esx_basicneeds
Started resource esx_basicneeds
Creating script environments for esx_optionalneeds
Started resource esx_optionalneeds
Creating script environments for esx_addonaccount
Started resource esx_addonaccount
Creating script environments for esx_addoninventory
Started resource esx_addoninventory
Creating script environments for esx_datastore
Started resource esx_datastore
Creating script environments for esx_inventoryhud
Started resource esx_inventoryhud
Creating script environments for esx_billing
Started resource esx_billing
Started resource skinchanger
Creating script environments for esx_skin
Started resource esx_skin
Started resource character
Started resource fashionA
Creating script environments for UniformsB
Started resource UniformsB
Creating script environments for esx_ability
Started resource esx_ability
Creating script environments for esx_amb_ability
Started resource esx_amb_ability
Creating script environments for esx_chef_ability
Started resource esx_chef_ability
Creating script environments for esx_gun_ability
Started resource esx_gun_ability
Creating script environments for esx_lock_ability
Started resource esx_lock_ability
Creating script environments for esx_mech_ability
Started resource esx_mech_ability
Creating script environments for pd-spawn
Started resource pd-spawn
Creating script environments for esx_joblisting
Started resource esx_joblisting
Creating script environments for esx_jobs
Started resource esx_jobs
Creating script environments for esx_vehicleshop
Started resource esx_vehicleshop
Creating script environments for esx_ambulancejob
Started resource esx_ambulancejob
Creating script environments for esx_mechanicjob
Started resource esx_mechanicjob
Creating script environments for esx_policejob
Started resource esx_policejob
Creating script environments for rad_gsr
Started resource rad_gsr
Creating script environments for Tackle
Started resource Tackle
Creating script environments for esx_mushroom
Started resource esx_mushroom
Creating script environments for esx_trash
Started resource esx_trash
Creating script environments for cron
Started resource cron
Creating script environments for esx_gym
Started resource esx_gym
Creating script environments for esx_duty
Started resource esx_duty
Creating script environments for esx_jimmybm
Started resource esx_jimmybm
Creating script environments for esx_shops
Started resource esx_shops
Creating script environments for esx_weaponshop
Started resource esx_weaponshop
Creating script environments for esx_np_skinshop_v2
Started resource esx_np_skinshop_v2
Creating script environments for esx_newaccessories
Started resource esx_newaccessories
Creating script environments for LegacyFuel
Started resource LegacyFuel
Creating script environments for esx_tattooshop
Started resource esx_tattooshop
Creating script environments for esx_clotheshop
Started resource esx_clotheshop
Started resource st-menu
Started resource st-hudv2
Creating script environments for dpemotes
Started resource dpemotes
Started resource dpclothing
Started resource fingerpoint
Couldn't find resource lkrp_notepad532.
Started resource HideInTrunk
Started resource SeatShuffle
Started resource seatbelt
Creating script environments for esx_ruskiarrest
Started resource esx_ruskiarrest
Started resource policecars
Creating script environments for garageshitz
Started resource garageshitz
Creating script environments for carremote
Started resource carremote
Creating script environments for whiteplate
Started resource whiteplate
Creating script environments for lux_vehcontrol
Started resource lux_vehcontrol
Creating script environments for heli
Started resource heli
Started resource SimpleCarHUD
Creating script environments for vMenu
Instantiated instance of script vMenuServer.BanManager.
Instantiated instance of script vMenuServer.MainServer.
Started resource vMenu
Creating script environments for EasyAdmin
Started resource EasyAdmin
Creating script environments for vSync
Started resource vSync
Creating script environments for esx_society
Started resource esx_society
Creating script environments for esx-ecobottles
Started resource esx-ecobottles
Creating script environments for chip_criminalDoctor
Started resource chip_criminalDoctor
Creating script environments for esx_license
Started resource esx_license
Creating script environments for esx_dmvschool
Started resource esx_dmvschool
Started resource st-cctv
Creating script environments for new_banking
Started resource new_banking
Started resource zffb_dice
Started resource esx-kr-vehicle-push
Creating script environments for esx_lscustom
Started resource esx_lscustom
Couldn't find resource esx_caraction.
Creating script environments for simpletp
Started resource simpletp
Creating script environments for SmartTrafficLights
Started resource SmartTrafficLights
Creating script environments for esx_speedcamera
Started resource esx_speedcamera
Started resource CLEAR_NPC
Started resource SB-NoHead
Started resource esx_guy293_holsterweapon
Creating script environments for esx_kingofthehill
Started resource esx_kingofthehill
Creating script environments for hackee-dispatch
Started resource hackee-dispatch
Creating script environments for esx_autogang
Started resource esx_autogang
Creating script environments for esx_thief
Started resource esx_thief
Creating script environments for esx_carthief
Started resource esx_carthief
Creating script environments for KBurglary
Started resource KBurglary
Creating script environments for lockpick
Started resource lockpick
Started resource mhacking
Creating script environments for t1ger_drugs
Started resource t1ger_drugs
Creating script environments for TakeHostage
Started resource TakeHostage
Creating script environments for x-hotwire
Started resource x-hotwire
Creating script environments for stasiek_selldrugs
Started resource stasiek_selldrugs
Creating script environments for esx_planting
Started resource esx_planting
Creating script environments for esx_merryweather
Started resource esx_merryweather
Creating script environments for esx_doorlock_mhacking
Started resource esx_doorlock_mhacking
Creating script environments for esx_vangelico_robbery
Started resource esx_vangelico_robbery
Creating script environments for esx_drugs
Started resource esx_drugs
Creating script environments for esx_drugeffects
Started resource esx_drugeffects
Started resource esx_lootDeadbody
Creating script environments for esx_outlawalert
Started resource esx_outlawalert
Creating script environments for esx_knatusblowtorch
Started resource esx_knatusblowtorch
Creating script environments for esx_knatusrobberybank
Started resource esx_knatusrobberybank
Creating script environments for utk_ornateheist
Started resource utk_ornateheist
Started resource utk_ornateprops
Creating script environments for utk_powerplant
Started resource utk_powerplant
Creating script environments for crafting
Started resource crafting
Creating script environments for esx_crafting
Started resource esx_crafting
Started resource reload-skillbar
Creating script environments for instance
Started resource instance
Started resource biker
Started resource bikerbarsandy
Started resource grandehouse
Started resource petitmaison
Started resource vagos
Started resource buldingbeach
Started resource tpplage
Creating script environments for int_prisonfull
Started resource int_prisonfull
Started resource prisonprops
Started resource dons_bm_middoc
Started resource smokey_hory
Started resource PetClinic
Started resource hospitalsandy
Started resource sandysheriff
Started resource paletopd
Started resource police_garage
Started resource policevw
Started resource phxlspd
Started resource weaponsfx
Started resource weaponchange
Started resource ocrp_postal_map
Creating script environments for Optimized3DME
Started resource Optimized3DME
Creating script environments for wk_wars2x
Started resource wk_wars2x
Started resource ObjectNameFromHash
Started resource pun_idgun
Creating script environments for RealisticVehicleFailure
Started resource RealisticVehicleFailure
Started resource ddg151
Started resource oceanjet
Started resource HMS
Started resource maserati
Creating script environments for hardcap
Started resource hardcap
Creating script environments for rconlog
Started resource rconlog
Started resource bob74_ipl
Could not open 96x96Logo.png for reading.
Authenticating server license key...
Server license key authentication succeeded. Welcome!
Sending heartbeat to https://servers-ingress-live.fivem.net/ingress
